macPrefix,vendor,OS_family
9C:6B:72,Realme Chongqing MobileTelecommunications Corp Ltd,android
E0:CC:F8,Xiaomi Communications Co Ltd,android
20:74:54,"vivo Mobile Communication Co., Ltd.",android
B8:C9:B5,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
18:E7:77,"vivo Mobile Communication Co., Ltd.",android
B4:A5:AC,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
44:46:87,Realme Chongqing MobileTelecommunications Corp Ltd,android
8C:53:C3,"Beijing Xiaomi Mobile Software Co., Ltd",android
D0:28:BA,Realme Chongqing MobileTelecommunications Corp Ltd,android
4C:4F:EE,"OnePlus Technology (Shenzhen) Co., Ltd",android
64:90:C1,"Beijing Xiaomi Mobile Software Co., Ltd",android
F0:67:28,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
C4:FE:5B,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
10:29:59,"Apple, Inc.",macos
E4:76:84,"Apple, Inc.",macos
F0:5C:D5,"Apple, Inc.",macos
70:EA:5A,"Apple, Inc.",macos
78:D1:62,"Apple, Inc.",macos
08:F8:BC,"Apple, Inc.",macos
90:A2:5B,"Apple, Inc.",macos
88:A4:79,"Apple, Inc.",macos
3C:BF:60,"Apple, Inc.",macos
AC:15:F4,"Apple, Inc.",macos
04:72:95,"Apple, Inc.",macos
D4:46:E1,"Apple, Inc.",macos
88:A9:B7,"Apple, Inc.",macos
EC:CE:D7,"Apple, Inc.",macos
AC:90:85,"Apple, Inc.",macos
94:0C:98,"Apple, Inc.",macos
E8:FB:E9,"Apple, Inc.",macos
38:EC:0D,"Apple, Inc.",macos
44:4A:DB,"Apple, Inc.",macos
30:90:48,"Apple, Inc.",macos
